tweet-id,username,date,text,like-count
at://did:plc:cccqfdqah2r75bhocwtewjmy/app.bsky.feed.post/3larukuwa2m2w,eha.sh,2022-10-15,"We are in a climate apocalypse. Anything that we do today will help tomorrow. Our greatest enemy is the fear that nothing we do will matter.  We must act now, tomorrow, every day. We must change collectively. Hope is a *discipline.*",0
at://did:plc:xi656hne5inqt5whublds6il/app.bsky.feed.post/3lattbdbias2f,lukashauser.bsky.social,2022-09-15,"Disgusting @tim_cook, colluding with climate-change-denying, women's rights-denying, and election-denying semi-fascists. You can meet with Trump and GOP hatemongers but are silent on so much else.",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqxo5dkuw2c,fvca.bsky.social,2022-09-28,"""In #MapleRidge Municipal Council Candidate Robert Masse would propose the following policies that would help our city's most vulnerable who are more severely impacted by #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqxo6ke622w,fvca.bsky.social,2022-09-28,"""In #MapleRidge Municipal Council Candidate Sarah Little has already done the following in their own life to fight #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqxo6qcpj2q,fvca.bsky.social,2022-09-28,"""In #MapleRidge Municipal Council Candidate Sarah Little would propose the following policies that would help our city to ADAPT to #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwwnxlar2h,fvca.bsky.social,2022-10-07,"Updated. In #Abbotsford we endorse the following candidates as being likely to take action on #climateChange if elected. Patricia Ross, Dave Loewen, Amritpal Mund, & Alex Mitchell  All the best! Abbotsford needs climate Action.",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwwrkrb32b,fvca.bsky.social,2022-09-28,In #PittMeadows Municipal Council Candidate Robert (Bob) Meachen would propose the following policies that they feel would make a significant difference to reduce our city's carbon emissions to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqy4s4t6a2q,fvca.bsky.social,2022-09-28,In #MapleRidge Municipal Council Candidate Rebecca Stiles would propose the following policies that would help our city to ADAPT to #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqy4sz5yh23,fvca.bsky.social,2022-09-28,In #LangleyCity Municipal Council Candidate Jennifer Elderkin would propose the following policies that would help our city to ADAPT to #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqzczfmzz24,fvca.bsky.social,2022-09-27,"Methane is the second biggest contributor to climate change after carbon dioxide. David Hastings, a retired chemical oceanographer in Gainesville, Fla., says much of the gas would rise through the ocean and enter the atmosphere....",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqzczve2i2p,fvca.bsky.social,2022-09-26,In #Coquitlam Municipal Council Candidate Zoe Royer has already done the following in their own life to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqzd2lcx62w,fvca.bsky.social,2022-09-26,In #Coquitlam Municipal Council Candidate Zoe Royer would propose the following policies that would help our city's most vulnerable who are more severely impacted by #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwcearvt2c,fvca.bsky.social,2022-09-28,In #PortMoody Municipal Council Candidate Dustin Chelen would propose the following policies that they feel would make a significant difference to reduce our city's carbon emissions to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwceifya2s,fvca.bsky.social,2022-09-28,In #PortMoody Municipal Council Candidate Kyla Knowles has already done the following in their own life to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwcezvre2w,fvca.bsky.social,2022-09-28,"""In #PortMoody Municipal Council Candidate Meghan Lahti has already done the following in their own life to fight #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqwcfashc2b,fvca.bsky.social,2022-09-28,"""In #PortMoody Municipal Council Candidate Meghan Lahti would propose the following policies that would help our city to ADAPT to #climateChange",0
