Tweet_count,Username,Followers Count,text,Created at,Likes,Retweets,Replies,Hashtags,Tweet ID,Place Name,User Location,Jahr,Monat
47,🐰,359,Cosmos  Rwanda: Unpredictable Climate Changes AllAfrica.com - 3 hours ago Climate change is one of the most critical global challenges  ...,Fri Dec 28 10:31:06 +0000 2007,0,0,0,,540755942,,,2007,12
3,BBC Science News,1821966,Legislators meet for talks in Washington aimed at finding a new global deal to curb climate change. http://tinyurl.com/2cf6t8,Thu Feb 15 13:01:38 +0000 2007,0,0,0,,5519358,,"London, England",2007,2
4,Natbat (Bluesky/Instagram: @natbat),6366,listening to the Archers omnibus from last Sunday - tackeling global climate change is definately mainstream now!,Thu Feb 22 11:00:31 +0000 2007,0,0,0,,5638797,,"El Granada, CA",2007,2
6,BBC News (World),41194959,Legislators meet for talks in Washington aimed at finding a new global deal to curb climate change. http://tinyurl.com/2p99l6,Thu Feb 15 13:02:19 +0000 2007,0,0,0,,5519363,,"London, UK",2007,2
8,BBC News (UK),15403961,Legislators meet for talks in Washington aimed at finding a new global deal to curb climate change. http://tinyurl.com/2cf6t8,Thu Feb 15 13:00:53 +0000 2007,0,0,0,,5519348,,London,2007,2
1,BBC Science News,1821966,Ministers from G8 nations meet in Germany to discuss a global response to climate change. http://tinyurl.com/2z6ubl,Fri Mar 16 01:26:56 +0000 2007,0,0,0,,8441381,,"London, England",2007,3
2,BBC News (World),41194959,Ministers from G8 nations meet in Germany to discuss a global response to climate change. http://tinyurl.com/ynuvhz,Fri Mar 16 01:11:41 +0000 2007,0,0,0,,8438071,,"London, UK",2007,3
3,Andrew Chellinsky,164,Solving the global climate change problem... then Freebirds (don't tell the wife)!  Perhaps even an Arcade Fire purchase (don't tell again)!,Thu Mar 22 17:20:00 +0000 2007,0,0,0,,11109271,,"North Canton, OH",2007,3
4,Andrew Chellinsky,164,Pondering the international political debate surrounding global climate change in the next 25 years.  Where will it go? Is CO2 it?  Or more?,Thu Mar 22 04:26:58 +0000 2007,0,0,0,,10860171,,"North Canton, OH",2007,3
2,BBC Science News,1821966,Delegates at a major climate change conference agree the wording of a report on the likely impact of global .. http://tinyurl.com/2kjl7f,Fri Apr 06 08:40:44 +0000 2007,0,0,0,,20610881,,"London, England",2007,4
4,BBC News (World),41194959,Delegates at a major climate change conference agree the wording of a report on the likely impact of global wa.. http://tinyurl.com/2ycxjz,Fri Apr 06 08:41:06 +0000 2007,0,0,0,,20611021,,"London, UK",2007,4
5,Andrew Chellinsky,164,"Global climate change presentation run through today.  Free Freebirds burritos and the national security of GCC, what could be more fun?",Fri Apr 20 12:43:06 +0000 2007,0,0,0,,34066222,,"North Canton, OH",2007,4
6,James Home,1450,Web stalking Stephen Flynn after hearing him frame a plausible path between the war on terror and preparing for global climate change.,Tue Apr 10 04:52:01 +0000 2007,0,0,0,,23354181,,The Pacific Ocean,2007,4
7,Ed Cognoski,29,"Headline confirming global climate change in spite of local cold wave: ""Abortion legalised in Mexico City""",Wed Apr 25 02:06:35 +0000 2007,0,0,0,,38863682,,"Richardson, Texas",2007,4
8,Aaron Landry,4107,Playing with Al Gore's  Global Climate Change Keynote presentation. I thought it would be bigger than 527MB.,Thu Apr 26 14:16:56 +0000 2007,0,0,0,,40700112,,North America,2007,4
1,GUBA,11806,Angel Leon: CLIMATE CHANGE: SCIENTIST'S NEW BOOK URGES NUCLEAR POWER TO OVERCOME GLOBAL WARMING - www.wedoit4you.com/go/265383,Thu May 10 15:10:14 +0000 2007,0,0,0,,58751002,,"Colorado, USA",2007,5
2,BBC Business,2290674,"HSBC, the UK's largest bank, is backing a new $100m initiative to tackle global climate change. http://tinyurl.com/326zzj",Wed May 30 09:20:12 +0000 2007,0,0,0,,83769992,,"London, UK",2007,5
3,GUBA,11806,CLIMATE CHANGE: SCIENTIST'S NEW BOOK URGES NUCLEAR POWER TO OVERCOME GLOBAL WARMING,Thu May 17 11:47:22 +0000 2007,1,0,0,,66903162,,"Colorado, USA",2007,5
4,BBC News (UK),15403961,"HSBC, the UK's largest bank, is backing a new $100m initiative to tackle global climate change. http://tinyurl.com/326zzj",Wed May 30 09:20:09 +0000 2007,0,0,0,,83769962,,London,2007,5
14,GUBA,11806,CLIMATE CHANGE: SCIENTIST'S NEW BOOK URGES NUCLEAR POWER TO OVERCOME GLOBAL WARMING,Thu May 10 15:01:43 +0000 2007,0,0,0,,58738532,,"Colorado, USA",2007,5
1,BBC Business,2290698,Leaders from the energy industry call for a global carbon market to help tackle climate change. http://tinyurl.com/37u88a,Mon Jun 04 22:28:52 +0000 2007,0,0,0,,91129562,,"London, UK",2007,6
2,BBC News (World),41195175,Leaders from the energy industry call for a global carbon market to help tackle climate change. http://tinyurl.com/ytond8,Mon Jun 04 22:40:29 +0000 2007,0,0,0,,91139512,,"London, UK",2007,6
3,Tam O,93,"Texas is flooding, think Shrub will start to believe in Global Warming/Climate Change now? What a disaster and I don't mean just the flood.",Tue Jun 19 13:02:44 +0000 2007,0,0,0,,111279792,,Las Vegas,2007,6
4,Global Voices,82720,India: Climate Change and G8: The Indian Economy Blog on India&#8217;s way of dealing with the G8 ta.. http://tinyurl.com/2honoo,Mon Jun 18 19:04:22 +0000 2007,0,0,0,,110104352,,World,2007,6
5,Deepak Singh,16092,"Keynote speaker mentioned poverty, climate change and global extremism as three key factors driving infectious diseases",Mon Jun 18 13:22:12 +0000 2007,0,0,0,,109706812,,Between a molecule and a byte,2007,6
6,Reuters,25601269,Bush wants global meeting on climate change http://tinyurl.com/yrrzru,Fri Jun 01 04:24:34 +0000 2007,0,0,0,,86272882,,Around the world,2007,6
13,Reuters,25601316,Bush wants global meeting on climate change http://tinyurl.com/2bcxtc,Fri Jun 01 00:54:37 +0000 2007,0,0,0,,86074642,,Around the world,2007,6
